AircraftId,BoardingCapacity,PayloadCapacity,MaxHoverTime
125,15,3203,16
126,10,4545,9
127,17,4006,12
128,8,3725,3
129,16,4861,6
130,12,3999,10
131,13,4650,9
132,17,4390,16
133,11,4392,9
134,9,4693,5
135,12,3325,3
136,14,4459,11
137,9,3879,14
138,10,4713,15
139,17,4097,8
140,12,4125,6
141,10,3485,12
142,20,3676,5
143,17,3178,6
144,20,4815,4
145,17,3159,16
146,19,3289,13
147,16,3020,13
148,17,4145,13
149,20,4732,9
150,14,4380,3
151,18,4989,15
152,17,3210,10
153,9,3333,8
154,9,3627,16
155,19,4437,14
156,15,3801,10
157,9,4482,14
158,17,3783,12
159,11,3593,13
160,16,3179,4
161,14,3434,6
162,16,4627,7
163,16,4836,11
164,18,4317,14
165,18,3505,9
166,9,4506,5
167,20,4872,6
168,18,3514,10
169,14,3363,13
170,19,3834,11
171,11,4152,12
172,11,4221,3
173,8,3846,7
174,18,3688,11
175,13,3063,3
176,20,3262,5
177,13,4840,2
178,10,4053,10
179,16,3161,12
180,12,4145,4
181,16,3447,13
182,16,3970,9
183,18,3927,10
184,12,4832,12
185,14,4660,3
186,19,3297,15
187,8,4433,3
188,9,4539,4
189,20,3872,4
190,16,3298,13
191,14,4319,8
192,8,3941,11
193,9,4276,16
194,18,3593,15
195,16,3880,4
196,19,4269,9
197,16,3014,12
198,19,3210,13
199,10,3178,2
200,10,3443,7
201,15,4489,10
202,8,3589,10
203,9,4609,7
204,13,4353,8
205,12,3724,3
206,15,4806,4
207,15,3921,12
208,17,3293,2
209,19,4556,5
210,15,3164,3
211,16,3355,15
212,9,3388,7
213,11,3716,3
214,9,3365,13
215,12,3182,16
216,18,4240,2
217,14,4231,10
218,19,3561,2
219,14,3989,2
220,14,4410,2
221,9,4360,2
222,17,3731,6
223,13,3055,15
224,18,3991,3
225,17,4391,9
226,11,3320,12
227,12,3533,4
228,20,4429,2
229,12,4179,13
230,14,3154,3
231,11,3342,3
232,10,3753,16
233,8,4110,16
234,18,4579,10
235,15,4224,3
236,9,4787,8
237,15,3731,7
238,19,3293,16
239,13,4119,10
240,11,4113,15
241,14,4510,9
242,15,4885,14
243,15,4748,9
244,12,4687,6
245,19,4645,4
246,16,3681,2
247,17,4792,15
248,18,3853,9
249,10,4183,7
250,19,4160,2
251,15,4547,4
252,15,3417,7
253,19,4381,8
254,11,4541,3
255,9,3039,8
256,18,3790,5
257,18,4523,5
258,8,4009,5
259,12,3261,15
260,11,4711,2
261,19,4982,11
262,14,3014,11
263,19,3855,5
264,16,3945,8
265,17,3909,14
266,14,4016,7
267,10,3067,8
268,12,3357,2
269,11,4447,5
270,18,4624,7
271,18,4216,5
272,16,4684,11
273,12,3115,3
274,8,3651,10
275,19,4283,3
276,8,3684,9
277,10,4535,13
278,20,3979,9
279,14,4114,14
280,13,4900,4
281,10,3451,16
282,16,3073,5
283,9,3768,2
284,16,3751,11
285,15,4120,8
286,18,4781,8
287,20,4303,16
288,14,3221,16
289,14,4447,4
290,10,4655,5
291,20,4992,2
292,10,3713,16
293,10,4665,10
294,15,3470,14
295,18,3428,6
296,15,4084,13
297,8,4385,3
298,19,3909,15
299,16,4028,13
300,12,4726,13
301,20,4641,3
302,14,4279,15
303,8,3065,16
304,13,3634,11
305,16,3820,14
306,15,3148,10
307,13,4738,4
308,13,4084,3
309,14,3418,7
310,19,4340,11
311,10,3456,13
312,19,3335,2
313,14,3032,3
314,14,4964,3
315,9,4854,3
316,19,3737,6
317,12,3045,11
318,12,4293,5
319,19,3630,9
320,11,3917,4
321,14,4165,6
322,19,4751,6
323,8,4166,7
324,20,3530,7
325,9,3028,13
326,16,3456,9
327,15,3603,12
328,14,4278,12
329,11,3833,6
330,14,3506,13
331,20,3478,15
332,8,3692,5
333,14,3160,13
334,9,3740,2
335,11,4147,13
336,9,3272,14
337,17,3965,4
338,15,4985,4
339,8,3367,13
340,20,4878,12
341,12,4682,13
342,18,4726,3
343,20,4303,3
344,10,4711,8
345,17,3590,9
346,8,3628,15
347,14,4427,10
348,13,4820,10
349,13,3914,5
350,19,4800,6
351,20,4878,8
352,11,3899,6
353,16,3038,5
354,10,4745,6
355,8,4458,3
356,15,4411,6
357,15,4573,13
358,14,3068,4
359,10,3305,7
360,20,3149,8
361,14,3329,12
362,19,3656,2
363,9,3083,13
364,14,3288,6
365,14,3361,2
366,15,4124,9
367,16,3048,11
368,12,3401,16
369,16,3743,10
370,13,4547,3
371,12,4364,7
372,14,4870,15
373,14,3797,15
374,20,3145,12
375,12,4640,14
376,14,3504,12
377,14,3672,4
378,19,3609,5
379,14,3562,4
380,15,4222,3
381,20,3445,5
382,20,4327,16
383,18,3037,13
384,19,3982,15
385,15,4273,3
386,11,4586,11
387,13,3002,8
388,18,3640,10
389,17,3017,9
390,16,4575,10
391,16,4974,7
392,17,3902,11
393,8,3207,7
394,8,4159,7
395,19,3160,10
396,18,4523,2
397,14,4181,13
398,8,4695,10
399,15,3585,6
400,18,3433,6
